Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Paatsch Group,136,,Brad Paatsch(Managing Director),2019,1,1,"Sport, recreation and leisure; local government",5,5,,"Sport, recreation and leisure planning and…Sport, recreation and leisure planning and infrastructure development","WA Cricket, Town of East Fremantle, City of…WA Cricket, Town of East Fremantle, City of Fremantle, Town of Bassendean, City of Bayswater, Perth Glory, Fremantle Football Club, Gage Roads, WAFC",100%,1,Various,Paatsch Consulting PTY LTD,Yes,"Sport, recreation and leisure"
Lamplighter Performance Consulting,196,114,Peter McLean(Managing Director),2007,,,"Across industries and sectors - private,…Across industries and sectors - private, government and non-profit",NFP,NFP,25%,"Strategic development, performance, leadership…Strategic development, performance, leadership and communication improvement. Process consulting, executive coaching, speaking and L&D Services. Individual and organisational development. Myriad capabilities.",,75%,,Value-based,,Yes,"Management, strategy, leadership, performance,…Management, strategy, leadership, performance, governance, process, communication, innovation, human resources, organisational, culture, behavioural forensics, Keynote speaking, professional speaking"
GrantSmart,233,,Anne Furey(Founder & CEO),2006,,,"Defence, Agrifood, Manufacturing, Technology,…Defence, Agrifood, Manufacturing, Technology, Innovation, Mining Services, Energy, Government, private and NFP",1,1,,GrantSmart specialises in preparing competitive…GrantSmart specialises in preparing competitive Government Grant applications with clients across the private sector; as well as Not For Profits and Local Government.,"Franmarine Underwater Services, Foodfolk, Jevons…Franmarine Underwater Services, Foodfolk, Jevons Robotics, City of Stirling, Cannaponics Limited, Fero Group Limited, Gridcognition, Tribe Technology, City of Rockingham, Local Drinks Co., West Winds Gin, Trandos Farms",100%,1,,,Yes,"Preparation of Government grant applications and…Preparation of Government grant applications and Review Services for Government Grant Applications
Award Applications"
Horizon Digital,66,69,"Jesse Hill(Co-Founder, Managing Director)",2021,,13,"Mining, mining services, transports and logistics…Mining, mining services, transports and logistics, civil construction and utilities, manufacturing, technology",14,24,85%,"We build custom digital solutions that automate…We build custom digital solutions that automate processes, streamline operations, or create new products and services to help businesses gain a competitive advantage in their industry.","BHP, Rio Tinto, Electric Power Conversions…BHP, Rio Tinto, Electric Power Conversions Australia (EPCA), Technip FMC,Orica, AWH, Vertech Group, Instant Waste Management, DigitalX, Pioneer Water Tanks",15%,1,,,Yes,"Technology consulting focused on digital…Technology consulting focused on digital transformation, data and AI, agile coaching, and commercialisation of new technology products."
3Pillars Asia Pacific,64,31,Stephen Ibbotson(Director),2008,,15,"Finance, Insurance, Utilities, Defence, State…Finance, Insurance, Utilities, Defence, State Government, Oil & Gas, Health, Engineering, Professional Services, Mining.",15,15,,"3Pillars Asia Pacific is a multi-disciplined…3Pillars Asia Pacific is a multi-disciplined consulting business that combines expertise in people development, process improvement and performance measurement. This integrated service model brings together the fundamental pillars that support organisational development and growth - people, process and performance measurement.",WND,100%,1,NFP,3Pillars Pty Ltd,Yes,"People capability optimisation, process and…People capability optimisation, process and operations optimisation, program performance optimisation"
marvinHR,98,,Nick Marvin(Director),2005,,4,Medium-size Enterprise,8,8,20%,"Management consulting, outsourced HR, executive…Management consulting, outsourced HR, executive search.","WA Football Commission, WesTrac, Football West,…WA Football Commission, WesTrac, Football West, Singular Health (ASX:SHG), CWA, Catholic Archdiocese of Perth.",80%,1,$660,,Yes,"Recruitment & HR Consulting 
Management…Recruitment & HR Consulting 
Management consulting, team performance, organisational culture, values and behaviours."
Control Risks,227,,"Jon Greenaway(Market Director,  WA)",2021,4,,,NFP,NFP,,,,,1,,,Yes,"Risk management, security consulting, threat…Risk management, security consulting, threat assessments, investigations, business intelligence, cyber risk, data analytics, political risk"
Pathfinder Marketing,19,,"David Toby(Director, Co-Founder)",2016,,,,100,7,,,,,1,,,Yes,"Performance Marketing
Growth Hacking
Digital…Performance Marketing
Growth Hacking
Digital Marketing
Digital Advertising"
Digital Hitmen,103,,,2016,,,All,7,8,20%,SEO (search engine optimisation),"Remsense, Unusual Pet Vets, Online Flooring Store",80%,1,150,,Yes,"SEO, paid search management, web design, social…SEO, paid search management, web design, social media management"
DBM Vircon,22,15,David Dawson(Executive Director - APAC),1972,1,,"industrial, commercial, infrastructure, public",65,86,,,"Rio Tinto, BHP, Woodside, Fluor, Civmec, Aurecon",,1,,,Yes,"IT: digital engineering, 3D modelling, detailing,…IT: digital engineering, 3D modelling, detailing, design and animation"
Flying Foam,155,196,"St John Hammond(Founder, Principal)",2010,1,1,"Beverage production, Hospitality.",3,8,70%,Brewery & distillery design and supply.,"Shelter Brewing Co, Feral Brewing Co, Bailey…Shelter Brewing Co, Feral Brewing Co, Bailey Brewing Co",30%,1,On application,Flying Foam Pty Ltd,Yes,Brewery & Distillery Design And Supply
Super Smart Energy,150,137,Adam Gangemi(Managing Director),2018,,,"Mining, Oil and Gas, Agriculture.",4,5,,"Strategy, 
Carbon Emissions,
Net Zero Roadmaps,…Strategy, 
Carbon Emissions,
Net Zero Roadmaps,
Engineering Studies,
Tenders,
Sustainability Reports,
Lifecycle Assessments.","NRW, Newmont, Regis Resources, Perenti, Sadleirs,…NRW, Newmont, Regis Resources, Perenti, Sadleirs, Western Power, WA State Government",,1,,,Yes,"Carbon and Energy Advisory: Decarbonisation,…Carbon and Energy Advisory: Decarbonisation, Carbon Footprint, Sustainability."
Supply Chain Services Australia,146,99,Stephen MacPherson(Managing Director),2006,,4,"Retail, manufacturing, resources, mining services…Retail, manufacturing, resources, mining services, defence, health, FMCG, 3PL",4,6,10%,Logistics and supply chain consulting,"Lend Lease, Sandvik, Roy Hill, South 32, Mineral…Lend Lease, Sandvik, Roy Hill, South 32, Mineral Resources, BHP, Woodside, Rio Tinto, Northern Star Resources, Monadelphous",90%,1,250,Supply Chain Services Australia Pty Ltd,Yes,"Management, Supply Chain and Logistics"
Checkside,111,38,Sam Willis(Director),2004,1,,"All industries, primarily emerging and mid-sized…All industries, primarily emerging and mid-sized private and listed companies.",6,7,,"Strategy development, strategy execution and…Strategy development, strategy execution and leadership development.",,100%,1,,Checkside Pty Ltd,Yes,"Strategic management consulting including…Strategic management consulting including strategy development and strategy execution, organisational design, leadership development, advisory board and executive coaching."
Veev Group,45,40,"Steve North(Co-Founder, Managing Director)",2010,,,"Oil and Gas, Services, Engineering, Local…Oil and Gas, Services, Engineering, Local Government, State Government, Construction.",25,28,,"Technology advisory, technology planning, system…Technology advisory, technology planning, system and vendor selection, program and project delivery, change management, business analysis, business process management and improvement, crisis management and business continuity planning.","Fortescue, Roy Hill, BHP, City of Stirling,…Fortescue, Roy Hill, BHP, City of Stirling, Murdoch University, Keystart, Pilbara Ports Authority.",100%,1,$185-$350,,Yes,"Your partner in technology advisory, we can…Your partner in technology advisory, we can assist you by providing extensive industry experience in selecting, improving and implementing technology solutions.

If you’re looking to improve your business, need to upgrade your structures or are about to embark on a new technology system, we can help you get the right balance and find the best products or solutions to suit your business model. 

Think of us as your Technology Advisory Company, offering expert advice in IT Advisory, Process Engineering and Improvement, Program Delivery and Change."
Quantum Management Consulting & Assurance,129,106,Geoff White(Director),2005,,2,"Government, finance, education, professional…Government, finance, education, professional services and health.",5,6,50%,"Specialise in providing internal audit and…Specialise in providing internal audit and management consulting services for clients, particularly for all levels of government, financial institutions, not-for-profit organisations and commercial organisations.","State government, Not-for-Profit organisations,…State government, Not-for-Profit organisations, Local governments.",50%,1,Negotiable depending upon the service,,Yes,"Governance, management, financial and business…Governance, management, financial and business improvement, environmental health and safety, and cybersecurity."
OccuMED Consulting,56,,"John Low(Executive Chair & Chief Occupational Physician, Managing Partner)",1996,,,"Mining, Defence, Oil, Gas, Construction,…Mining, Defence, Oil, Gas, Construction, Healthcare",NFP,NFP,,Occupational medicine services,,,5,,,Yes,Medical
Perspektiv Australia,63,57,Patrick Ilott(Chief Executive),2017,4,12,"Infrastructure, Government, Resources, Product…Infrastructure, Government, Resources, Product Manufacturing, Corporate.",15,17,,"Corporate ESG;
Sustainability Ratings &…Corporate ESG;
Sustainability Ratings & Certifications;
Climate, Carbon & Circularity Advisory;
Social Impact Advisory.","Pilbara Minerals, Chalice Mining, CPB Contractors…Pilbara Minerals, Chalice Mining, CPB Contractors, Laing O'Rourke, Main Roads WA, Public Transport Authority.",100%,1,$150-$350,Privately held,Yes,"Corporate ESG;
Sustainability Ratings &…Corporate ESG;
Sustainability Ratings & Certifications;
Climate, Carbon & Circularity Advisory;
Social Impact Advisory."
ACIL Allen,82,52,John Nicolaou(Executive Director),,5,50,Economy-wide,10,10,,,,100%,1,,,Yes,"Economics, strategy, policy."
Colliers,16,,"Richard Cash(Chief Executive, WA)",2022,25,,,120,150,,,,,3,,,Yes,"Capital Markets
Industrial Investment Services…Capital Markets
Industrial Investment Services
Retail Capital & Middle Markets
Investment Services
Office Leasing
Retail Leasing
Real Estate Management Services
Flexible Workspace
Occupier Services
Project Management
Strategic Advisory
Valuation & Advisory Services
Research
Marketing
Hotels
Workplace Management Services
Agribusiness (Valuation & Advisory / Sales)
Healthcare & Retirement Living"
Quadrant Advisory,219,161,Paul O'Farrell(Managing Director),2016,,1,All industry sectors,1,2,,"Mid-market clients with turnover greater than …Mid-market clients with turnover greater than $20M or debt facilities between $5M - $100M. We source funding solutions from major and regional banks along with alternate financiers. We operate on a fee for service basis, 100% paid for by our clients.",,,1,,,Yes,"Corporate debt advisory, banking advocacy,…Corporate debt advisory, banking advocacy, succession planning and risk management & governance services (including advisory boards)."
Kern Allied Health,31,24,"Mark Kerns(Founder, Director)",2006,,,Health,40,65,,"Kern Allied Health is a NDIS Registered provider…Kern Allied Health is a NDIS Registered provider offering our participants a range of allied health services across the hospital, aged care, disability and occupational health sectors.","Fortescue Metals Group, Ramsay Healthcare,…Fortescue Metals Group, Ramsay Healthcare, National Disability Insurance Agency.",100%,2,$200,Kern Pty Ltd,Yes,"Allied health services - physiotherapists,…Allied health services - physiotherapists, occupational therapists, speech pathologists, psychologists and exercise physiology."
Metattude,239,221,,1998,,NFP,Public and private sectors,NFP,NFP,,Senior Leadership Professional Development,"Australian Defence Force; WA Police; Department…Australian Defence Force; WA Police; Department of Mines, Industry Regulation and Safety; Department of Fire and Emergency Services; Splend; BHP; Rio Tinto; Fremantle Commercial Diving; Dredge RoboticsFremantle Ports; Sandvik",100%,,,Bonne Nuit Productions Pty Ltd,Yes,"Board, CEO and executive coaching; consulting and…Board, CEO and executive coaching; consulting and development for leadership, culture, performance and productivity improvement; corporate people-centred turnaround; specialist in dealing with difficult but valuable people."
Think DONE Management Consultancy,187,123,Linda Steele(Queen of Efficiency),2010,,1,All,2,3,,Strategy and efficiency,WND,100%,1,WND,Think DONE Pty Ltd,Yes,Strategy and efficiency
PJA,160,,,2022,1,,,3,5,,,,,1,,,Yes,"Transport planning, engineering, placemaking."
Alvarez & Marsal,41,,"Nicholas Reid(Managing Director, Head of Perth Office)",2022,4,6,,26,33,,,,,1,,,Yes,"Management Consulting
Tax advisory
Disputes &…Management Consulting
Tax advisory
Disputes & Investigations
Infrastructure & capital projects advisory
Restructuring"
The Dichotomy Group,220,,"Pat Hall(Owner, Director)",2005,,,"Defence , Government agencies",1,2,,,,100%,,,,Yes,"Stratgeic management, with a focus on Defence,…Stratgeic management, with a focus on Defence, cyber and national security segments"
Entego,133,,Harry Street(Director),2020,,,"Energy markets, electricity and gas markets…Energy markets, electricity and gas markets. Commercial and industrial customers.",5,5,,,,,,,,Yes,"Energy market operations, electricity and gas…Energy market operations, electricity and gas market strategy and advisory, electricity and gas contract procurement."
The Values Partnership,203,133,Miles Protter(Director),2014,,2,"Mining, oil and gas, engineering, construction,…Mining, oil and gas, engineering, construction, government, education, arts",2,2,50%,Mentoring individuals and teams in values and…Mentoring individuals and teams in values and purpose focused leadership. Aligning teams for high performance.,"Subsea7, Worley, South32, Snowy 2, Alcoa, Public…Subsea7, Worley, South32, Snowy 2, Alcoa, Public Service Commission, thyssenkrupp, CleanTeQ, Goodstart",50%,1,$500+,,Yes,"Mentoring, leadership development, values…Mentoring, leadership development, values alignment, high performance teams"
LachWil,112,,Peter Pruyn(General Manager),2021,,,"Mining, construction, communications",6,7,40%,"Providing a wide range of project services to…Providing a wide range of project services to clients, in challenging, time-stressed environments by simplifying complexity and leading with a people-centric management approach.",,60%,1,,,Yes,"Projects management, advisory, governance,…Projects management, advisory, governance, systems integration"
Integral,75,28,"Jonah Cacioppe(Executive Director, Managing Director & Chief Executive since 2019)",1991,3,55,"Public Sector, Private Sector. Energy and…Public Sector, Private Sector. Energy and Resources, Legal, Construction, Health Services, Not-For-Profit",10,65,20%,"Leadership, coaching, executive coaching,…Leadership, coaching, executive coaching, training, RTO, strategy, people development, public courses and surveys.
Able leadership Development Platform","Deloitte, ABN Group, Dept of Finance, Dept of…Deloitte, ABN Group, Dept of Finance, Dept of Mines & Petroleum, P&N Bank, AHG Group, WA Police, City of Joondalup, City of Perth, Department of Health, Dept of Education, Baptistcare, Public Sector Commission, Multiplex, Dept Defence, Chevron, Fortescue",80%,1,Varies,Integral Development,Yes,Leadership development and coaching programs.
Dr Paula Smith - Powerful Presenting and Leadership Communication,228,,Paula Smith(Chief Executive),1990,,10,Across Industries,1,1,50%,"Training, coaching and keynote speaking","BHP, Water Corporation, ALCOA, Western Power,…BHP, Water Corporation, ALCOA, Western Power, DCBA, Rio Tinto, Department of Health, WALGA, Royal Perth, Toyota Finance, Anglo Gold Ashanti, DEMIRS, Edith Cowan University, Main Roads",50%,,,,Yes,"Presentation skills master classes and coaching,…Presentation skills master classes and coaching, leadership communication, leadership development, executive coaching, bespoke workforce development training, keynote speaking"
BidWrite,81,74,"Nigel Dennis(Co-Founder, Director, Chief Executive)",2008,2,18,,10,12,20%,BidWrite provides consultancy services to…BidWrite provides consultancy services to businesses seeking support in bidding. It also offers an industry leading Generative AI platform and bid training to those who wish to improve their skills and knowledge.,,80%,1,,Bid Write Pty Ltd,Yes,"Bidding industry-specific consulting 
Generative…Bidding industry-specific consulting 
Generative AI Bid Writing"
Velrada,21,12,Glen Hinde(Chief Financial Officer),2009,4,,"Velrada works primarily with global, local &…Velrada works primarily with global, local & national clients across the whole resources and energy industry vertical value chain including primary explorers and producers, infrastructure and EPCM providers, and services government/regulatory agencies.",71,71,30%,"Business management consulting and systems…Business management consulting and systems integration with strong practices in enterprise services, risk, strategic IM, digital intelligence, integrated operating centres, infrastructure. Microsoft Architecture, Microsoft Development, Microsoft Data & AI, Microsoft Office 365, Change Management, Business Analysis, Testing, Training, Governance, Project Management.","BHP Billiton, Sodexo, Department of Planning,…BHP Billiton, Sodexo, Department of Planning, Venues West, Woodside Energy, South 32, SA Health, WA Treasury Commission, Department of Finance, Rio Tinto, Downer, Department of Transport, Monadelphous.",70%,1,$250-$450,Velrada Capital Pty Ltd,Yes,"Management consulting, IT consulting. Microsoft…Management consulting, IT consulting. Microsoft Architecture, Microsoft Development, Microsoft Cloud, Microsoft Dynamics, Microsoft Data & AI, Microsoft Office 365, Change Management, Business Analysis, Testing, Training, Governance, Project Management."
DrawHistory,151,65,"Jeffrey Effendi(Founder, Chief of Innovation since 2021)",2015,,5,Purpose-led businesses and nonprofits,4,4,,"DrawHistory is a strategy and design agency for…DrawHistory is a strategy and design agency for ambitious, purpose-driven brands in search of progress. Our studio of social researchers, strategists, communicators, and designers are contrarians who help brands reimagine better futures through behavioural change. We’re proudly one of the Asia-Pacific’s first and highest scoring Certified B Corp agencies.","Change.org, UNICEF Australia, WA Department of…Change.org, UNICEF Australia, WA Department of Premier & Cabinet",,1,,,Yes,"Consumer insights, brand purpose and strategy,…Consumer insights, brand purpose and strategy, content strategy, communications strategy, creative direction and design, digital design and development"
Ready To Help,244,162,David Shawcross(Principal),2006,,,All,1,1,,"Commercialisation of technology and new product…Commercialisation of technology and new product development. Business development, strategy.",Masters Psychology,100%,1,,,Yes,"Technology and product development, intellectual…Technology and product development, intellectual property protection, business development, advisory board and primary board membership."
Agreement Hub,140,128,"Kellie Swanson-Hill(Founder, Managing Director)",2002,,6,Mining,4,10,,,Various ASX 200 companies as well as Aboriginal…Various ASX 200 companies as well as Aboriginal Corporations,100%,1,Varies,,Yes,"Land access negotiations with Traditional Owners…Land access negotiations with Traditional Owners for mining, infrastructure and renewables; Navigating governance; ESG alignment; Cultural heritage management"
The Marketing Room,51,44,"Tahnee Sharp(Founder, Managing Director)",2018,3,,All,21,21,,"Provide organisations with either of the below…Provide organisations with either of the below part-time resources:
In-House Outsourced Marketing Manager,
In-House Outsourced Marketing Consultant,
In-House Outsourced Social Media Manager","RAC Insurance, Avivo, SKG Radiology, WALGA,…RAC Insurance, Avivo, SKG Radiology, WALGA, Asthma WA",100%,1,$110 - $205,TMR WA,Yes,"Marketing strategy, social media strategy"
Nexx AU,184,,,2022,,,"Industrial, Construction, Commercial,…Industrial, Construction, Commercial, Agricultural, Resources",NFP,NFP,,Product design & procurement services,,,1,,,Yes,"Product design & development
Product procurement…Product design & development
Product procurement & supply"
Impact Seed,102,86,"Sven Stenvers(Founder, Director)",2015,,NFP,"Corporate, Not for profit, Government, startup…Corporate, Not for profit, Government, startup and First Nations businesses",NFP,NFP,50%,"Our vision is for a sustainable, resilient, and…Our vision is for a sustainable, resilient, and inclusive Western Australian impact-driven economy that empowers communities and
values culture and environment.
 
With a decade of on the ground experience working with WA impact entrepreneurs, businesses, government, funders, not for profits and Aboriginal corporations, we work in partnership to create systems-level impact and provide strategic advice, investment and connections that enable organisations to deepen and scale their impact.

As a proudly West Australian-based advisory our focus is on place-based projects that aspire to create deep impact here in WA, leveraging our state’s greatest strengths: natural and geographical advantages, resource rich public and private investment sectors, entrepreneurial and innovation talent, and deep traditional Aboriginal knowledge of how to care for Country on which we all depend.",,50%,1,,,Yes,"Impact and ESG advisory, impact strategy, impact…Impact and ESG advisory, impact strategy, impact measurement and evaluation, impact investment management, field building impact investment, community investment, social enterprise development and First Nations engagement"
Longreach Media,135,110,"Angela Nutton(Founding Director, Longreach Media)",2018,,,,5,5,50%,,,50%,1,,,Yes,"Media and Marketing,Strategic Planning,"
Canford Hospitality Consultants,164,151,"Phil Cockman(Director, Consultant)",2000,,,"Hospitality, Tourism",3,3,,"Hospitality Planners
Liquor Licence application…Hospitality Planners
Liquor Licence application professionals 
Feasibility studies
Hospitality Project Management","West Coast Eagles, City of Joondalup, Nando's…West Coast Eagles, City of Joondalup, Nando's Restaurants, Town of Cambridge, Cellarbrations Liquor Stores, IGA-D, Grill'd Healthy Burgers, Dome Cafes, Spices Catering, Northbridge Brewing Company, General Public Co., The Raft, Fallow, X-Golf, Bottle-O,",100%,1,$380 incl GST / $2450 incl GST,,Yes,"Liquor Licence Applications
Feasibility studies …Liquor Licence Applications
Feasibility studies 
Business reports
Kitchen/Back of house layouts 
Protection orders
Food and beverage planning 
Public Interest Assessments
Hospitality Developments
Council development applications 
Lease negotiations
Business plans Budgets / Cash flow analysis
Drafting services"
Oxygen Group,159,72,Sean Johnstone(Director),2003,,3,"B2B, Wholesale/Distribution, Manufacturing,…B2B, Wholesale/Distribution, Manufacturing, Professional Services, Property Services",3,5,65%,,NFP,35%,1,WND,,Yes,"Strategy Execution
Performance Mgt / Advisory…Strategy Execution
Performance Mgt / Advisory Board / NED
Debt & Equity Finance
M&A"
Corporate Affairs Australia,104,152,"Simon Corrigan(Founder, Partner)",2021,,,,7,7,,,"Agrimin, Azure Minerals, Buru, Pilbara Minerals,…Agrimin, Azure Minerals, Buru, Pilbara Minerals, Chalice Mining, Global Lithium",100%,1,,,Yes,"Corporate Affairs: Government Relations,…Corporate Affairs: Government Relations, Community Relations and Communications."
Emergination,229,145,Justin Davies(Managing Director),2009,,4,"SME market, industrial, mining & resources,…SME market, industrial, mining & resources, technology, government and commercial enterprises.",1,1,10%,"Strategy development and execution, board…Strategy development and execution, board advisory, business coaching, innovation development and execution, company growth.","Department of Jobs, Science, Tourism and the Arts…Department of Jobs, Science, Tourism and the Arts; Department of Premier and Cabinet; City of Subiaco; Stirling Business Centre; Helicopter Logistics; Intrinsic; Clean Plant.",90%,1,"$300 for Lead Consultants, $250 for Senior…$300 for Lead Consultants, $250 for Senior Consultants.",,Yes,"Business advisory and coaching, management…Business advisory and coaching, management consulting, sales and marketing strategy, strategic planning, facilitation."
Knowledge Society,206,103,"Elena Douglas(Founder, Chief Executive)",2015,,,Education,1,9,,"Knowledge Society is a social purpose…Knowledge Society is a social purpose organisation that works with education systems to design and deliver school improvement programs.

We believe school improvement, informed by the best evidence, is the most powerful lever to improve education and life outcomes for the nation's young people.","Catholic Education Western Australia, Catholic…Catholic Education Western Australia, Catholic Education Canberra Goulburn, Department of Education WA, Melbourne Archdiocese Catholic Schools, Catholic Education Sandhurst",,1,,,Yes,Help schools and education systems improve…Help schools and education systems improve student outcomes.
Viridian Advisory,30,,Suna Cavanagh(Regional Head WA/SA),2017,,,,43,43,,,,,,,,Yes,Financial planning and wealth management
Wolfpack Global,204,125,Mark Jackson(Founder),2015,,,All,2,2,,,,100%,1,n/a,,Yes,Facilitation of peer support and peer learning…Facilitation of peer support and peer learning for groups of business owners. Group coaching.
Acuitus,223,209,Scott Vanson(Principal),2012,,,Property,1,1,,Property,Lendlease,100%,1,$120 - $220,,Yes,"Property - development management, commercial…Property - development management, commercial property analysis, new business."
Ascend 7,147,143,"Rox Dawson(Founder, Managing Director)",2009,,NFP,"Energy and resources, financial services,…Energy and resources, financial services, government, education, engineering, construction, manufacturing, wholesaling, retailing, not for profit",NFP,NFP,50%,"Digital transformation, digital marketing,…Digital transformation, digital marketing, eBusiness, online management systems, ecommerce, online stores, product information management, content management systems (CMS), business process reengineering, project management, Virtual CTO (vCTO)","HWE, AIMWA, Iluka, BHP Billiton, UWA, ENJO,…HWE, AIMWA, Iluka, BHP Billiton, UWA, ENJO, PANDORA, Abel McGrath, FMG, Sustainability, Comsupply, Managed IT, Hall Chadwick, Accounts Flow, Enware, Watts Water, Ultramax, Teak, Castech Solutions",50%,1,$100-$500,,Yes,"Digital transformation, digital marketing, online…Digital transformation, digital marketing, online management systems, ECommerce, product information management, software development, project management"
Lisle Group,218,206,"Trent Lisle(Founder, Principal)",2020,,,"Resources (mining, oil & gas), Mining Services,…Resources (mining, oil & gas), Mining Services, Energy, Infrastructure & Utilities.",1,2,,,,,1,,,Yes,Financial advisory
Birch Advisory,225,106,Andrew Birch(Executive Director),2009,,,,NFP,NFP,,"Corporate Advisory & Finance, Business Turnaround…Corporate Advisory & Finance, Business Turnaround, Restructuring and Safe Harbour, Transformation and Strategy",,100%,1,,Holand Family Trust,Yes,"Management, financial and strategic consulting…Management, financial and strategic consulting services"
Proven Project Management,86,53,"Greg Rowe(Founder, Director)",2015,,,Property and Construction,17,22,,Project Management,"Curtin University, DevelopmentWA, Perth Airport,…Curtin University, DevelopmentWA, Perth Airport, Indigenous Land and Sea Corporation (ILSC), M/Group, Avolta",100%,1,,Greg Rowe Pty Ltd,Yes,"Project Management, Superintendency, Design…Project Management, Superintendency, Design Management"
Taits Consulting,208,,Alan Tait(Managing Director),2017,,4,"Mining, Transport, Utilities, Construction",1,4,,"WHS Legislation Compliance Audits, Safety…WHS Legislation Compliance Audits, Safety Leadership Training & Coaching, Critical Risk Management, Mine Safety Management System Development & Audits, WHS Management System Development & Audits, Contractor Management","BHP, Deloitte, dss+, Rio Tinto, Perenti,…BHP, Deloitte, dss+, Rio Tinto, Perenti, Kimberley Mineral Sands, Wyloo, Pilbara Minerals, Foraco",100%,1,,,Yes,Safety Consulting (Mining and General).
YouGov,61,152,Claudia Readett(Office & Facilities Coordinator),2000,2,NFP,"Energy, finance, health, insurance, property,…Energy, finance, health, insurance, property, aged care, government, local government, sport, tourism, utilities, building and manufacturing, FMCG",NFP,NFP,,"Brand and communication development and…Brand and communication development and evaluation, corporate reputation measurement and stakeholder consultation, New product and service development and evaluation, EX, CX and UX evaluation, Industry intelligence, behavioural data aggregation and analysis.","Western Power, Synergy, Kleenheat, Department of…Western Power, Synergy, Kleenheat, Department of Premier and Cabinet, Harvest Road (Harvey Beef, Leeuwin Coast), Squadron Energy, Mineral Resources, Venues Live (Optus Stadium), Horizon Power, Energy Policy WA, Independent Living Assessment.",100%,1,Variable,YouGov,Yes,"Marketing consulting, market research, brand and…Marketing consulting, market research, brand and communications tracking, data integration and evaluation."
Turner & Townsend,13,13,"Matt Billingham(Operations Director, ANZ)",2001,10,15,"Mining, energy, infrastructure, building.",145,160,,"A global professional services provider that…A global professional services provider that supports organisations that invest in, own and operate assets.","We work across the natural resources, property…We work across the natural resources, property and infrastructure sectors. In WA, our clients include Rio Tinto, BHP Billiton, FMG, Roy Hill, Chevron, Woodside, Shell, PTA, METRONET, MRA, BMW, Brookfield, Dexus, NAB, AMP, Woolworths and CSIRO.",100%,1,,Turner & Townsend Pty Ltd,Yes,"Project services, project management, cost…Project services, project management, cost management, quantity surveying, project controls, estimating, scheduling and planning, PMO, risk management, contract services, claims management, contract management, consulting and advisory."
IPS Management Consultants,44,41,Katina Law(IPS Director),2015,2,5,"Agriculture, Mining, Construction, Manufacturing,…Agriculture, Mining, Construction, Manufacturing, Energy, Transportation, Telecommunications, Pharmaceuticals, Chemicals, Textiles, Financial Services",50,70,10%,Management consulting,"Services Australia, Department of Finance, ACSQHC…Services Australia, Department of Finance, ACSQHC, DEWR, Main Roads, METRONET, NAB, Multiplex,",90%,5,Various at different levels,,Yes,"Management consultancy, human resources, business…Management consultancy, human resources, business advisory, organisational development and leadership, policy and evaluation, First Nations advisory, cultural competency training, RAP, workforce solutions, project services"
Longreach Business Consulting,,,,,,,,,,,,,,,,,Yes,
Paywise,43,37,Frank Agostino(Chief Executive Officer),1997,3,,"State Government, Local Government, IT, …State Government, Local Government, IT,  Shipbuilding, Energy, Health, Fishing, Tech, Oil and Gas, Marine",25,91,,Salary Packaging and Novated Leasing.,"WA Government, Curtin University, Uniting Limited…WA Government, Curtin University, Uniting Limited, Pathwest, Barminco, NES Fircroft, Notre Dame University, Austral Ships, Woodside, NT Government, WALGA.",,1,,COG Financial Services Ltd,Yes,"Salary Packaging,
Novated Leasing,
Employee…Salary Packaging,
Novated Leasing,
Employee Benefits."
LRY Group,,,Lavin Raja-Yogam(Group Managing Director),2009,,,,,,,,,,,,,,
Toro Engineering,,,"Vaughan James(Founder, Director)",2020,,,"Resources, renewables, non-process infrastructure…Resources, renewables, non-process infrastructure and industrial",8,13,,Civil / Structural Engineering,,,1,,,Yes,Engineering
GHD,2,1,"Sheldon Krahe(General Manager – Western Australia Region, Executive Director)",1975,43,,"Asset intensive industries - private sector,…Asset intensive industries - private sector, public sector, transport, water, property and buildings, environment, mining, industry, oil and gas.",NFP,874,20%,"Multi-disciplinary engineering, technical,…Multi-disciplinary engineering, technical, digital, environmental and project management services.","BHP, Main Roads WA, Copenhagen Infrastructure…BHP, Main Roads WA, Copenhagen Infrastructure Partners, Water Corporation, Alcoa, Fortescue, Western Power, Horizon Power, Rio Tinto, Synergy, Rio Tinto, Western Power, Port Authorities.",80%,5,Varies,GHD Group Limited,,"Engineering (water, energy, environment,…Engineering (water, energy, environment, resources and property and buildings), Infrastructure Investment and Economics, Transactions Advisory and Business Cases, Asset Management, Risk, Assurance and Regulation, Digital Twins, Infrastructure Cybersecurity, Digital Engineering, Smart Cities and Innovation, Sustainability (including ESG, Decarbonisation and Circular Economy, EIA)."
